Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance5XS100_4_20,4,100,20,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,VGS(MIPOrig),,,3600,MT,YCR,NDI,NF,
Instance1XS25_2_10,2,25,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS25_2_10,2,25,10,1,VGS(MIP),1536,871,3600,MT,YCR,NDI,NF,
Instance1XS25_2_10,2,25,10,1,SCP,50,6,3600,MT,YCR,NDI,NF,
Instance1XS25_2_10,2,25,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS25_3_10,3,25,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS25_3_10,3,25,10,1,VGS(MIP),2296,911,3600,MT,YCR,NDI,NF,
Instance1XS25_3_10,3,25,10,1,SCP,50,9,3600,MT,YCR,NDI,NF,
Instance1XS25_3_10,3,25,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS25_4_10,4,25,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS25_4_10,4,25,10,1,VGS(MIP),2790,920,3600,MT,YCR,NDI,NF,
Instance1XS25_4_10,4,25,10,1,SCP,50,11,3600,MT,YCR,NDI,NF,
Instance1XS25_4_10,4,25,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,VGS(MIP),8537,12721,3600,MT,YCR,NDI,YF,
Instance2XS50_2_10,2,50,10,2,VGS(MIP),8529,12788,3600,MT,YCR,NDI,YF,
Instance3XS50_2_10,2,50,10,3,VGS(MIP),8527,12733,3600,MT,YCR,NDI,YF,
Instance4XS50_2_10,2,50,10,4,VGS(MIP),8524,12961,3600,MT,YCR,NDI,YF,
Instance5XS50_2_10,2,50,10,5,VGS(MIP),8521,12780,3600,MT,YCR,NDI,YF,
Instance1XS50_3_10,3,50,10,1,VGS(MIP),11535,12905,3600,MT,YCR,NDI,YF,
Instance2XS50_3_10,3,50,10,2,VGS(MIP),11528,12792,3600,MT,YCR,NDI,YF,
Instance3XS50_3_10,3,50,10,3,VGS(MIP),11531,12765,3600,MT,YCR,NDI,YF,
Instance4XS50_3_10,3,50,10,4,VGS(MIP),11550,12746,3600,MT,YCR,NDI,YF,
Instance5XS50_3_10,3,50,10,5,VGS(MIP),11534,12742,3600,MT,YCR,NDI,YF,
Instance1XS50_4_10,4,50,10,1,VGS(MIP),13530,12660,3600,MT,YCR,NDI,YF,
Instance2XS50_4_10,4,50,10,2,VGS(MIP),13520,12687,3600,MT,YCR,NDI,YF,
Instance3XS50_4_10,4,50,10,3,VGS(MIP),13535,12837,3600,MT,YCR,NDI,YF,
Instance4XS50_4_10,4,50,10,4,VGS(MIP),13537,12952,3600,MT,YCR,NDI,YF,
Instance5XS50_4_10,4,50,10,5,VGS(MIP),13520,12747,3600,MT,YCR,NDI,YF,
Instance1XS100_2_20,2,100,20,1,VGS(MIP),23569,15181,3600,MT,YCR,NDI,YF,
Instance2XS100_2_20,2,100,20,2,VGS(MIP),23567,15251,3600,MT,YCR,NDI,YF,
Instance3XS100_2_20,2,100,20,3,VGS(MIP),23566,15206,3600,MT,YCR,NDI,YF,
Instance4XS100_2_20,2,100,20,4,VGS(MIP),23557,15245,3600,MT,YCR,NDI,YF,
Instance5XS100_2_20,2,100,20,5,VGS(MIP),23570,15275,3600,MT,YCR,NDI,YF,
Instance1XS100_3_20,3,100,20,1,VGS(MIP),35558,15250,3600,MT,YCR,NDI,YF,
Instance2XS100_3_20,3,100,20,2,VGS(MIP),35576,15234,3600,MT,YCR,NDI,YF,
